State,Year,Value,Metric
MD,1970,2.31,Avg Price - Residential
MD,1971,2.53,Avg Price - Residential
MD,1972,2.69,Avg Price - Residential
MD,1973,3.04,Avg Price - Residential
MD,1974,3.95,Avg Price - Residential
MD,1975,4.57,Avg Price - Residential
MD,1976,4.79,Avg Price - Residential
MD,1977,5.5,Avg Price - Residential
MD,1978,6.01,Avg Price - Residential
MD,1979,6.62,Avg Price - Residential
MD,1980,8.41,Avg Price - Residential
MD,1981,9.77,Avg Price - Residential
MD,1982,10.72,Avg Price - Residential
MD,1983,11.53,Avg Price - Residential
MD,1984,10.99,Avg Price - Residential
MD,1985,11.43,Avg Price - Residential
MD,1986,11.15,Avg Price - Residential
MD,1987,10.7,Avg Price - Residential
MD,1988,10.35,Avg Price - Residential
MD,1989,11.22,Avg Price - Residential
MD,1990,12.36,Avg Price - Residential
MD,1991,13.13,Avg Price - Residential
MD,1992,12.82,Avg Price - Residential
MD,1993,13.4,Avg Price - Residential
MD,1994,13.56,Avg Price - Residential
MD,1995,13.65,Avg Price - Residential
MD,1996,13.73,Avg Price - Residential
MD,1997,14.35,Avg Price - Residential
MD,1998,14.75,Avg Price - Residential
MD,1999,14.68,Avg Price - Residential
MD,2000,15.07,Avg Price - Residential
MD,2001,15.93,Avg Price - Residential
MD,2002,15.03,Avg Price - Residential
MD,2003,15.78,Avg Price - Residential
MD,2004,16.85,Avg Price - Residential
MD,2005,19.19,Avg Price - Residential
MD,2006,22.26,Avg Price - Residential
MD,2007,24.74,Avg Price - Residential
MD,2008,28.3,Avg Price - Residential
MD,2009,27.77,Avg Price - Residential
MD,2010,27.36,Avg Price - Residential
MD,2011,26.47,Avg Price - Residential
MD,2012,26.37,Avg Price - Residential
MD,2013,25.78,Avg Price - Residential
MD,2014,25.99,Avg Price - Residential
MD,2015,25.71,Avg Price - Residential
MD,2016,26.7,Avg Price - Residential
MD,2017,26.92,Avg Price - Residential
MD,2018,25.34,Avg Price - Residential
MD,2019,25.6,Avg Price - Residential
MD,2020,25.69,Avg Price - Residential
MD,2021,26.93,Avg Price - Residential
MD,2022,30.15,Avg Price - Residential
MD,2023,33.49,Avg Price - Residential
MD,2024,34.8,Avg Price - Residential
MD,1970,2.59,Avg Price - Commercial
MD,1971,2.67,Avg Price - Commercial
MD,1972,2.82,Avg Price - Commercial
MD,1973,3.12,Avg Price - Commercial
MD,1974,4.62,Avg Price - Commercial
MD,1975,5.72,Avg Price - Commercial
MD,1976,6.05,Avg Price - Commercial
MD,1977,6.86,Avg Price - Commercial
MD,1978,7.58,Avg Price - Commercial
MD,1979,7.7,Avg Price - Commercial
MD,1980,9.72,Avg Price - Commercial
MD,1981,11.71,Avg Price - Commercial
MD,1982,12.41,Avg Price - Commercial
MD,1983,12.3,Avg Price - Commercial
MD,1984,11.79,Avg Price - Commercial
MD,1985,12.88,Avg Price - Commercial
MD,1986,12.26,Avg Price - Commercial
MD,1987,10.52,Avg Price - Commercial
MD,1988,11.08,Avg Price - Commercial
MD,1989,10.86,Avg Price - Commercial
MD,1990,11.84,Avg Price - Commercial
MD,1991,11.34,Avg Price - Commercial
MD,1992,10.87,Avg Price - Commercial
MD,1993,11.37,Avg Price - Commercial
MD,1994,11.51,Avg Price - Commercial
MD,1995,12.61,Avg Price - Commercial
MD,1996,13.35,Avg Price - Commercial
MD,1997,13.56,Avg Price - Commercial
MD,1998,13.16,Avg Price - Commercial
MD,1999,13.53,Avg Price - Commercial
MD,2000,13.84,Avg Price - Commercial
MD,2001,14.17,Avg Price - Commercial
MD,2002,12.31,Avg Price - Commercial
MD,2003,12.63,Avg Price - Commercial
MD,2004,14.15,Avg Price - Commercial
MD,2005,17.54,Avg Price - Commercial
MD,2006,22.92,Avg Price - Commercial
MD,2007,24.16,Avg Price - Commercial
MD,2008,26.63,Avg Price - Commercial
MD,2009,24.06,Avg Price - Commercial
MD,2010,23.97,Avg Price - Commercial
MD,2011,23.61,Avg Price - Commercial
MD,2012,22.1,Avg Price - Commercial
MD,2013,22.02,Avg Price - Commercial
MD,2014,22.71,Avg Price - Commercial
MD,2015,21.76,Avg Price - Commercial
MD,2016,21.39,Avg Price - Commercial
MD,2017,21.57,Avg Price - Commercial
MD,2018,20.84,Avg Price - Commercial
MD,2019,20.15,Avg Price - Commercial
MD,2020,19.8,Avg Price - Commercial
MD,2021,22.03,Avg Price - Commercial
MD,2022,26.86,Avg Price - Commercial
MD,2023,26.85,Avg Price - Commercial
MD,2024,26.69,Avg Price - Commercial
MD,1970,0.91,Avg Price - Industrial
MD,1971,1.07,Avg Price - Industrial
MD,1972,1.14,Avg Price - Industrial
MD,1973,1.2,Avg Price - Industrial
MD,1974,2.24,Avg Price - Industrial
MD,1975,2.78,Avg Price - Industrial
MD,1976,2.86,Avg Price - Industrial
MD,1977,3.3,Avg Price - Industrial
MD,1978,3.7,Avg Price - Industrial
MD,1979,3.78,Avg Price - Industrial
MD,1980,4.96,Avg Price - Industrial
MD,1981,5.72,Avg Price - Industrial
MD,1982,6.18,Avg Price - Industrial
MD,1983,6.09,Avg Price - Industrial
MD,1984,6.02,Avg Price - Industrial
MD,1985,6.31,Avg Price - Industrial
MD,1986,6.13,Avg Price - Industrial
MD,1987,5.72,Avg Price - Industrial
MD,1988,5.53,Avg Price - Industrial
MD,1989,6.22,Avg Price - Industrial
MD,1990,6.57,Avg Price - Industrial
MD,1991,6.98,Avg Price - Industrial
MD,1992,7.65,Avg Price - Industrial
MD,1993,7.66,Avg Price - Industrial
MD,1994,7.45,Avg Price - Industrial
MD,1995,5.27,Avg Price - Industrial
MD,1996,5.94,Avg Price - Industrial
MD,1997,5.23,Avg Price - Industrial
MD,1998,5.64,Avg Price - Industrial
MD,1999,5.83,Avg Price - Industrial
MD,2000,7.0,Avg Price - Industrial
MD,2001,6.69,Avg Price - Industrial
MD,2002,7.16,Avg Price - Industrial
MD,2003,9.15,Avg Price - Industrial
MD,2004,9.83,Avg Price - Industrial
MD,2005,12.06,Avg Price - Industrial
MD,2006,12.15,Avg Price - Industrial
MD,2007,12.55,Avg Price - Industrial
MD,2008,15.57,Avg Price - Industrial
MD,2009,13.29,Avg Price - Industrial
MD,2010,13.21,Avg Price - Industrial
MD,2011,14.51,Avg Price - Industrial
MD,2012,14.03,Avg Price - Industrial
MD,2013,15.05,Avg Price - Industrial
MD,2014,15.59,Avg Price - Industrial
MD,2015,13.33,Avg Price - Industrial
MD,2016,11.82,Avg Price - Industrial
MD,2017,13.04,Avg Price - Industrial
MD,2018,13.8,Avg Price - Industrial
MD,2019,14.07,Avg Price - Industrial
MD,2020,13.43,Avg Price - Industrial
MD,2021,15.1,Avg Price - Industrial
MD,2022,20.26,Avg Price - Industrial
MD,2023,19.4,Avg Price - Industrial
MD,2024,18.64,Avg Price - Industrial
MD,1970,2.3,Avg Price - Transportation
MD,1971,2.42,Avg Price - Transportation
MD,1972,2.54,Avg Price - Transportation
MD,1973,2.67,Avg Price - Transportation
MD,1974,3.95,Avg Price - Transportation
MD,1975,4.3,Avg Price - Transportation
MD,1976,4.46,Avg Price - Transportation
MD,1977,4.76,Avg Price - Transportation
MD,1978,4.82,Avg Price - Transportation
MD,1979,6.33,Avg Price - Transportation
MD,1980,8.92,Avg Price - Transportation
MD,1981,9.99,Avg Price - Transportation
MD,1982,9.44,Avg Price - Transportation
MD,1983,8.86,Avg Price - Transportation
MD,1984,8.66,Avg Price - Transportation
MD,1985,9.02,Avg Price - Transportation
MD,1986,7.12,Avg Price - Transportation
MD,1987,7.56,Avg Price - Transportation
MD,1988,7.88,Avg Price - Transportation
MD,1989,8.5,Avg Price - Transportation
MD,1990,9.64,Avg Price - Transportation
MD,1991,9.23,Avg Price - Transportation
MD,1992,9.32,Avg Price - Transportation
MD,1993,9.36,Avg Price - Transportation
MD,1994,9.52,Avg Price - Transportation
MD,1995,9.7,Avg Price - Transportation
MD,1996,10.18,Avg Price - Transportation
MD,1997,9.99,Avg Price - Transportation
MD,1998,8.7,Avg Price - Transportation
MD,1999,9.26,Avg Price - Transportation
MD,2000,11.45,Avg Price - Transportation
MD,2001,11.13,Avg Price - Transportation
MD,2002,10.63,Avg Price - Transportation
MD,2003,12.11,Avg Price - Transportation
MD,2004,14.25,Avg Price - Transportation
MD,2005,17.65,Avg Price - Transportation
MD,2006,20.2,Avg Price - Transportation
MD,2007,21.75,Avg Price - Transportation
MD,2008,26.17,Avg Price - Transportation
MD,2009,18.63,Avg Price - Transportation
MD,2010,22.1,Avg Price - Transportation
MD,2011,28.24,Avg Price - Transportation
MD,2012,29.27,Avg Price - Transportation
MD,2013,28.47,Avg Price - Transportation
MD,2014,27.66,Avg Price - Transportation
MD,2015,19.97,Avg Price - Transportation
MD,2016,17.65,Avg Price - Transportation
MD,2017,20.17,Avg Price - Transportation
MD,2018,22.59,Avg Price - Transportation
